날짜,카테고리,제목,요약,링크
2025-05-15,부동산,서울신문,랭킹 결과를 더 볼 수 있어요.**,"   - 본문 추출 실패
"
2025-05-15,부동산,이경실 소유 용산구 89평 아파트 경매 나온 이유는,"개그우먼 겸 방송인 이경실. /뉴스1개그우먼 겸 방송인 이경실 소유의 서울 용산구 동부이촌동 아파트에 대한 경매 절차가 진행 중이다.15일 부동산 경·공매 데이터 전문기업 지지옥션에 따르면 이경실이 소유한 293㎡(89평) 아파트에 대한 경매가 오는 27일 서울서부지법에서 진행된다. 경매 시작가는 25억5000만원이다.이 아파트는 1970년대 초 이촌동 초입에 준공됐다. 223~317㎡의 24가구로 이뤄졌으며, 상당수 가구가 한강을 내려다보고 있다. 등기부등본을 보면, 이경실은 이 아파트를 2007년 14억원에 사들인 뒤 계속 보유하고 있었다.이경실의 집이 경매에 나온 것은 그가 이 집을 담보로 빌린 돈을 갚지 않았기 때문으로 분석된다. 이 아파트에는 A씨 명의로 채권 최고액 18억원의 근저당권 등이 설정돼 있다. A씨는 작년 9월 13억3000여 만원을 청구하며 법원에 임의 경매를 신청했다.임의 경매는 부동산을 담보로 돈을 빌린 채무자가 원금이나 이자를 3개월 이상 연체하면 은행 등 금융기관의 신청으로 재판 없이 부동산을 경매에 넘기는 절차다. A씨는 이후 한 대부업체에 채권을 넘겼다.이주현 지지옥션 전문위원은 “아파트 연식이 50년이 넘고, 용산구가 토지거래허가구역으로 지정돼 매매가 쉽지 않아 경매로 넘어온 것으로 보인다”고 했다.","https://n.news.naver.com/article/366/0001077233?ntype=RANKING)
"
2025-05-15,부동산,"한국서 결혼한 베트남女…“600번 성매매, 성병까지 걸려”","유튜브 채널 ‘투우부부’서 공개된 사연40대 남성, 베트남 여성과 결혼 후 韓서 생활7개월 만에 성병 걸려…알고보니 ‘성매매’이혼 소송 제기하자 연락 끊고 잠적해[이데일리 권혜미 기자] 한국 남성과 결혼한 베트남 여성이 몰래 성매매를 하고, 업소에서 만난 남성과 동거를 하다 적발된 사연이 전해졌다.지난 11일 유튜브 채널 ‘투우부부’에는 경기도 남양주시에 거주하는 40대 남성 A씨의 사연이 전해졌다.사진=유튜브 채널 투우부부1983년생인 A씨는 결혼 전 오래 만난 여자친구와 헤어지면서 국제 결혼에 관심을 갖게 됐다. 그러던 중 2022년 9월 결혼중개업체를 통해 베트남 여성 15명을 소개받았고, 이중 한국어에 능통한 2002년생 B씨를 선택해 베트남 하이퐁시에서 맞선을 봤다.A씨는 맞선 한 달 만에 베트남을 재방문해 B씨와 약혼식을 올렸다. 12월엔 전통혼례를 치렀고, 2023년 3월 함께 한국으로 들어와 살게 됐다.그런데 그로부터 7개월 후인 2023년 10월. 갑자기 아랫배가 아프다고 호소한 B씨는 산부인과에서 4가지 성병 진단을 받았다. 당연히 남편도 B씨와 같은 성병에 감염된 상태였다. 입국 전 건강검진에서는 특별한 이상이 없었는데 불과 7개월 만에 성병에 감염된 것이었다.의심스러운 정황은 이뿐만이 아니다. B씨는 지난해 10월 A씨에 “친한 언니와 외박을 해도 되겠냐”고 물었고, A씨는 “연락만 잘 되면 보내주겠다”고 했다. 하지만 집을 나간 B씨는 2박 3일간 연락을 전혀 받지 않았다. 집에 돌아와서도 휴대전화를 보여달라는 A씨의 말에 B씨는 “휴대전화는 내 거잖아”며 화를 냈고, 급기야 비상 계단에서 뛰어내리는 등 자해까지 시도했다.사진=유튜브 채널 투우부부A씨는 뒤늦게 B씨와 여행을 간 ‘언니’의 정체가 상간남이라는 사실을 알게 됐다. 심지어 B씨는 상간남과 만난 경위를 묻는 말에 “유흥업소에서 근무하다 단골 손님으로 알게 됐다”며 당당하게 성매매를 했다고 한다.A씨는 B씨가 근무한 유흥업소 출근부도 확보했다. B씨는 2024년 5월부터 주 6일 오후 2시부터 9시까지 600명 이상 남성과 성매매를 한 것으로 확인됐다.결국 A씨는 B씨를 상대로 손해배상소송과 함께 이혼 소송을 제기했다. B씨는 “위자료를 깎아달라”, “유흥업소에서 일해서 갚겠다”며 사과했지만, 이후 A씨와 연락을 끊고 잠적한 상태다.A씨는 “이 여자가 한국에 있으면 저 말고도 다수의 피해자가 발생할 것 같다”며 “제가 아내를 건국대 어학당에 보내줬는데, 유학생인 척 도서관에서 한국 남학생들한테 접근을 많이 했다”고 주장했다.","https://n.news.naver.com/article/018/0006014264?ntype=RANKING)
"
2025-05-15,부동산,"“600번 성매매, 동거에 성병까지”…한국男과 결혼 베트남女의 충격적 행각","한국 남성과 결혼한 베트남 여성이 몰래 성매매를 하고 업소에서 만난 남성과 동거를 하다 적발된 사연이 전해졌다. [사진출처 = 유튜브 영상 캡처]한국 남성과 결혼한 베트남 여성이 몰래 성매매를 하고 업소에서 만난 남성과 동거를 하다 적발된 사연이 전해졌다.최근 유튜브 채널 ‘투우부부’에는 경기도 남양주시에 거주하는 40대 남성 A씨의 사연이 전해졌다.투우부부에 따르면 1983년생인 A씨는 과거 오래 만난 여자친구와 헤어지면서 국제 결혼에 관심을 갖게 됐다.그러던 중 2022년 9월 결혼중개업체를 통해 베트남 여성 15명을 소개받았고 이중 한국어에 능통한 2002년생 B씨를 선택해 베트남 하이퐁시에서 맞선을 봤다. 맞선 한 달만에 베트남을 다시 찾아간 A씨는 B씨와 약혼을 하고 전통혼례를 치른 뒤 2023년 3월 함께 한국으로 들어와 살게 됐다.그런데 그로부터 7개월 후인 2023년 10월 갑자기 아랫배 통증을 호소한 B씨는 산부인과에서 검사를 받은 결과 4가지 성병 진단을 받았다. 남편 A씨도 B씨와 같은 성병에 감염된 상태였다. 입국 전 건강검진에서는 특별한 이상이 없었는데 7개월만에 성병에 감염된 것이다.의심스러운 정황은 이 뿐만이 아니다. B씨는 지난해 10월 A씨에 “친한 언니와 외박을 해도 되겠냐”고 물었고 A씨는 “연락만 잘 되면 보내주겠다”고 했다. 그러나 B씨는 2박 3일간 연락이 안됐고 휴대전화를 보여달라는 남편의 말에도 화를 내며 거절했다. 심지어 자해까지 시도했다.A씨는 뒤늦게 B씨가 언급한 친한 언니는 상간남이라는 사실을 알게 됐고 만난 경위를 묻는 말에는 “유흥업소에서 근무하다 단골 손님으로 알게 됐다”며 성매매를 했다고도 했다.유흥업소 출근부도 확보한 B씨는 A씨가 2024년 5월부터 주 6일 오후 2시부터 9시까지 600명 이상 남성과 성매매를 한 것으로 확인했다.결국 A씨는 B씨를 상대로 손해배상소송과 함께 이혼 소송을 제기했다. B씨는 “위자료를 깎아달라”, “유흥업소에서 일해서 갚겠다”며 사과했지만, 이후 A씨와 연락을 끊고 잠적한 상태다.A씨는 “이건 저 혼자만 알고 있으면 안 될 것 같다. 이 여자가 한국에 있으면 저 말고도 다수의 피해자가 발생할 것 같다”며 “제가 아내를 XX대학 어학당에 보내줬는데, 유학생인 척 도서관에서 한국 남학생들한테 접근을 많이 했다”고 주장했다.","https://n.news.naver.com/article/009/0005492790?ntype=RANKING)
"
2025-05-15,부동산,이경실 소유 ‘25억 아파트’ 경매에…18억 근저당 설정,"뉴스1방송인 이경실 씨 소유의 서울 용산구 이촌동 아파트가 경매 시장에 나왔다.15일 부동산 경·공매 전문기업 지지옥션에 따르면 이 씨가 소유한 용산구 이촌동에 있는 전용면적 293㎡(약 89평) 아파트에 대한 경매가 27일 서부지법에서 진행된다. 경매 시작가는 25억5000만 원이다.해당 아파트는 1개 동, 24채 규모로 1972년 준공됐다. 등기부등본에 따르면 이 씨는 이 아파트를 2007년 14억 원에 매수했다. 이 씨가 이 집을 담보로 돈을 빌리고 갚지 않은 것으로 보인다. 이 아파트에는 A 씨 명의로 채권최고액 18억 원의 근저당권이 설정돼 있다. 이후  지난해 9월 A 씨는 13억3000여만 원을 청구해 법원에 임의 경매를 신청했다. 이후 A 씨는 채권을 한 대부업체에 넘겼다.","https://n.news.naver.com/article/020/0003635135?ntype=RANKING)
"
2025-05-15,부동산,이경실 ‘이촌동 89평 아파트’ 경매 나왔다…“빌린 돈 안 갚아서”?,"[연합][헤럴드경제=김주리 기자] 방송인 이경실 소유의 서울 용산구 이촌동 아파트에 대한 경매 절차가 진행 중인 것으로 확인됐다.15일 부동산 경·공매 데이터 전문기업 지지옥션에 따르면 이씨 소유의 293㎡(89평) 아파트에 대한 경매가 오는 27일 서울서부지방법원에서 진행된다.경매 시작가는 25억5000만원이다.이촌동 초입에 위치한 이 아파트는 223~317㎡의 24가구로 이뤄졌으며 상당수 가구가 한강을 내려다보고 있다.등기부상 이씨는 1970년대 초 준공된 이 아파트를 2007년 14억원에 사들인 뒤 거주하는 것으로 나타났다.이씨의 집이 경매에 나온 것은 이씨가 이 집을 담보로 빌린 돈을 갚지 않았기 때문으로 분석된다.이 아파트에는 A씨 명의로 채권최고액 18억원의 근저당권 등이 설정돼 있으며 A씨는 지난해 9월 13억3000여만원을 청구하며 법원에 임의 경매를 신청했다.A씨는 이후 한 대부업체에 채권을 넘긴 것으로 나타났다.이주현 지지옥션 전문위원은 “아파트 연식이 50년이 넘고, 용산구가 토지거래허가구역으로 지정돼 매매가 쉽지 않아 경매로 넘어온 것으로 보인다”고 말했다.","https://n.news.naver.com/article/016/0002471309?ntype=RANKING)
"
2025-05-15,부동산,서울경제,본문 추출 실패,"https://media.naver.com/press/011/ranking?type=popular)
"
2025-05-15,부동산,이경실 소유 용산구 89평 아파트 경매에 나왔다…무슨 일?,"방송인 이경실./유튜브코미디언 이경실 소유의 서울 용산구 아파트에 대한 경매 절차가 진행 중이다.15일 부동산 경·공매 데이터 전문기업 지지옥션에 따르면 이경실이 소유한 이촌동에 있는 293㎡(89평) 아파트에 대한 경매가 오는 27일 서울서부지법에서 진행된다. 경매 시작가는 25억5000만원이다.1970년대 초 이촌동 초입에 준공된 이 아파트는 223~317㎡의 24가구로 이뤄졌으며, 상당수 가구가 한강을 내려다보고 있다. 등기부등본을 보면, 이경실은 이 아파트를 2007년 14억원에 사들인 뒤 계속 보유하고 있었다.이경실의 집이 경매에 나온 것은 그가 이 집을 담보로 빌린 돈을 갚지 않았기 때문으로 분석된다. 이 아파트에는 A씨 명의로 채권 최고액 18억원의 근저당권 등이 설정돼 있다. A씨는 작년 9월 13억3000여 만원을 청구하며 법원에 임의 경매를 신청했다. 임의 경매는 부동산 담보 대출 차주가 원리금을 3개월 이상 연체하면 은행 등 금융기관의 신청으로 재판 없이 부동산을 경매에 넘기는 절차다. A씨는 이후 한 대부업체에 채권을 넘겼다.이주현 지지옥션 전문위원은 “아파트 연식이 50년이 넘고, 용산구가 토지거래허가구역으로 지정돼 매매가 쉽지 않아 경매로 넘어온 것으로 보인다”고 했다.","https://n.news.naver.com/article/023/0003905273?ntype=RANKING)
"
2025-05-15,부동산,"“김문수는 24평 아파트, 사회복지사 딸” 서병수 찬조연설 [이런뉴스]","공식 선거운동이 본격화하면서 후보뿐 아니라 각 당의 선대위 관계자들도 바빠지고 있습니다.부산시장을 지낸 국민의힘 서병수 전 의원의 찬조연설 영상으로 준비했습니다.▲서병수 국민의힘 부산시당 총괄선대위원장(전 부산시장, 5.13, 부산)안녕하세요. 서병수입니다. 반갑습니다. 잘 지내십니까? 오늘 이제 김문수 후보께서 곧 도착하실 텐데 여기에 오늘 말씀하시는 분들이  다 현역 의원들인데 나하고 김문수 후보만 현역 의원이 아닙니데이.우리 지난 총선에서 여러분들께서 도와주셔가지고 우리 18개 선거구 중에서 17개 이겼는데 나만 똑 떨어뜨렸어요.  그런데 저는 내가 떨어짐으로써 열일곱 분이 다 되셨다고 생각하는데 여러분 동의하십니까?요즘 많이 어려우시죠? 장사 잘 안되시죠? 이거 와 이렇습니까?잘 안 들립니다. 어쨌든 제 이야기는 우리 과거를 잊어버리시면 안 됩니데이.우리 역대 대통령들이 어떠어떠한 일들을 했는가, 자기가 뽑아준 국회의원들이 지역구 활동을 국가를 위해서 무엇을 했는가, 여러분들이 기억해 주셔야 됩니다.다 잊어버리고 선거 때 돼 가지고 막 부지런하게 쫓아다닌다 뭐 이런 사람들만 찍어주면 안 됩니데이. 요새 물가 오르고 있죠? 그렇죠? 일자리가 없죠? 장사가 안되죠?이 경제라고 하는 것은 한 번 집행하고 나면 시간이 좀 걸려서 천천히 그 결과가 나타납니데이.이게 나는 문재인 대통령 5년, 그리고 윤석열 대통령 한 3년 가까이 대통령을 하면서 제1야당인 민주당이 다수의 국회의원을 가지고 규제하고, 윤 대통령 발목을 잡아서 일을 못 하게 하고, 여러분 29번에 걸쳐서 장관들 탄핵시킨 거 아시죠? 이해할 수 있겠습니까, 여러분?문제는 거기에 있는 겁니다.예? 죽일 놈이라고예? 이번에도 한번 죽여보입시다. 확실하십니까?저 사실 정치인들은 마이크 잡으면 이 말소리가 길어지거든요. 난 좀 더 많이 하고 싶은데 우리 의원들이 여기 다 와가 대기하고 있습니다. 그래서 차례대로 한 번씩 이야기를 들어보시고…저는 이거 하나만 말씀드릴게요. 김문수 후보 참 괜찮은 사람입니데이.자기 지금 봉천동에 살고 있는데 자기가 노동부 장관 했제, 경기도지사 두 번이나 했제, 국회의원 세 번이나 했제 이런데도 봉천동에 24평짜리 아파트에 살고 있습니다.또 자기 딸이 하나 있는데 이 아이가 지금 사회복지사로서 근무를 하고 있습니다.살아온 역정이 청렴결백합니다. 그리고 충직합니다. 여러분.국민들한테 거짓말하는 대통령 , 여러분 만들고 싶습니까? 국민들한테 거짓말하는 사람...잘 안되네. 오래간만에 마이크 잡으니까…절대 찍어주면 안 됩니데이. 믿겠습니다. 감사합니다.김문수 한 세 번만 불러봅시다.김문수! 김문수! 김문수!감사합니데이.■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!","https://n.news.naver.com/article/056/0011951537?ntype=RANKING)
"
2025-05-15,금리,백종원 '빽다방' 결국…아메리카노 200원 인상,"백종원 대표의 더본코리아가 운영하는 빽다방은 오는 22일 아메리카노(핫)의 가격을 200원 올려 1,700원에 판매한다.더본코리아는 15일 이같은 계획을 빽다방 홈페이지를 통해 공지했다.다만 아이스 아메리카노 가격은 현재 가격인 2,000원으로 동결하기로 했다.아메리카노(핫)의 배달 판매 가격도 2,000원으로 200원 오른다.카페라떼는 핫과 아이스 모두 200원 인상해 3,200원에 판매한다.카라멜마키아또(핫·아이스)와 카페모카(핫·아이스)도 200원씩 올려 각각 3,700원에 책정됐다.샷 추가 가격은 500원에서 600원으로 오른다.식혜도 2,700원으로 200원 인상된다.크리미단팥빵과 크리미슈는 300원 올라 2,300원, 쫀득 감자빵·고구마빵은 200원 올라 3,000원에 판매된다.더본코리아는 측은 ""지난해부터 국제 원두 거래 시세가 큰 폭으로 상승했고 고환율이 유지됐다""며 ""점주와 소통해 조정 수준을 결정했다""고 말했다.한편 더본코리아는 빽다방 가맹점주와 고객을 위한 본사 전액 지원 이벤트를 진행한다.그 중 하나로 오는 21일부터 30일까지 매일 오후 3시부터 빽다방 멤버십 회원에게 500원 할인 쿠폰을 선착순으로 제공한다.더본코리아는 고객 선호도가 높은 메뉴를 중심으로 대규모 오프라인 할인 행사도 개최할 방침이다.","https://n.news.naver.com/article/215/0001209290?ntype=RANKING)
"
