날짜,카테고리,제목,요약,링크
2025-05-15,부동산,"“이러다가 노인들만 남는거 아닌가”…서울 떠나는 30대, 어디로 가나 했더니","4월 30대 집합건물 취득인천 전년대비 94% 급증인천시 서구 검단신도시 전경. [사진 = 인천도시공사]서울 아파트값 상승세가 이어지면서 30대들은 실거주와 자산 형성을 동시에 고려해 인천과 경기 일부 지역을 대안으로 택하고 있는 것으로 조사됐다. 인천 서구와 경기 화성시 등 개발 기대가 큰 지역을 중심으로 30대의 집합건물 매입이 증가한 것으로 나타났다.14일 신한투자증권 분석에 따르면 지난달 수도권(서울·경기·인천)에서 30대가 개인 명의로 취득한 집합건물은 총 1만4715건으로 전년 동월(1만5178건)보다 3.1% 감소했다.전체 수도권에서의 거래 규모는 전년보다 줄었지만 서울은 반등했고 인천은 급증했다. 이 기간 서울은 2807건에서 4493건으로 60% 증가했다. 반면 경기도는 33.8% 줄어든 7142건을 기록했다. 인천은 1587건에서 3080건으로 94.1% 급증했다.인천에서 가장 많은 거래가 이뤄진 지역은 서구(915건)였다. 검단신도시 2단계 분양과 루원시티 개발, 도시철도 1호선 연장 등 교통 및 개발 호재가 집중된 영향으로 분석된다. 같은 기간 미추홀구는 174건에서 854건으로 391% 증가하며 가장 높은 증가율을 보였다.서울에서는 동대문구(586건), 송파구(341건), 영등포구(255건) 등에서 거래가 활발했다. 동대문구는 이문·답십리 일대 신규 입주, GTX-C 개통 기대, 동북권 개발사업 등이 영향을 미쳤다. 송파구는 잠실·문정 일대 토지거래허가구역 해제 이후 거래가 재개되면서 수요가 늘었다.경기도는 전반적으로 거래가 감소했으나 일부 핵심 지역은 여전히 30대의 선택을 받았다. 화성시(1061건)는 GTX-A 수서~동탄 구간 개통의 영향으로 거래가 활발했다. 안양시 동안구(703건)는 서울 접근성이 좋은 소형 아파트 수요가 많았고, 용인시 처인구(534건)는 플랫폼시티 개발과 반도체 배후 수요의 영향을 받은 것으로 풀이된다.너무 높아진 서울 집값에 대한 부담감과 함께, DSR 등 금융규제 강화로 대출 여건까지 악화하면서 30대 실수요층의 주택 구매 행태는 점차 현실적인 대안을 모색하는 방향으로 재편되고 있다는 분석이다.양지영 신한투자증권 자산관리컨설팅부 수석은 “지금의 흐름은 ‘실현 가능한 서울’, ‘성장 잠재력이 높은 인천’, ‘선별적 접근이 요구되는 경기도’를 중심으로 주거 선택이 전략적으로 재배치되고 있음을 보여준다”고 설명했다.한편 KB부동산 시세에 따르면 올해 1~4월 서울 아파트 매매가격은 1.77% 상승했다. 반면 인천과 경기도는 각각 0.27%, 0.4% 하락했다. 서울의 중위 매매가격은 10억원을 넘어선 반면 경기도는 4억8000만원, 인천은 3억5833만원 수준에 머물렀다.","https://n.news.naver.com/article/009/0005492123?ntype=RANKING)
"
2025-05-15,부동산,“일본 대만 제치고 서울이 1위”…미국 여행 전문매체서 ‘亞 최고 레저 여행지’ 등극,"서울등산관광센터 북악산점에서 기념촬영을 하고 있는 외국인 관광객 / 사진=서울관광재단미국 여행 전문 매체 ‘글로벌 트래블러’가 주관한 ‘제13회 2025 레저 라이프 스타일 어워즈’에서 서울이 최고의 아시아 레저 목적지 부문 1위에 올랐다.글로벌 트래블러는 비즈니스 여행객을 대상으로 한 미국 대표적인 프리미엄 MICE 전문매체로 110만 명의 구독자, 월 홈페이지 뷰수는 470만 건에 달한다.글로벌 트래블러는 전 세계 독자들의 투표를 바탕으로 매년 여행·레저 분야 최고의 도시를 선정한다.레저 라이프스타일 어워즈는 2013년부터 매년 최고의 레저 목적지를 선정하여 시상하고 있으며, 2024년에는 아시아 지역에서 대만 타이베이가 1위, 서울이 2위를 기록한 바 있다.2025년에는 서울이 다시 1위를 차지했으며 뒤이어 △2위 대만 타이베이 △3위 일본 도쿄 △4위 태국 푸껫 △5위 싱가포르가 선정됐다.서울이 미국 여행 전문 매체 ‘글로벌 트래블러’가 주관한 ‘제13회 2025 레저 라이프 스타일 어워즈’에서 최고의 아시아 레저 목적지 부문 1위에 올랐다. / 사진=서울관광재단서울관광재단은 “이번 수상은 서울이 한류 콘텐츠, 쇼핑과 미식, 등산 관광, 야간관광, 축제 등 다양한 레저 콘텐츠 측면에서 아시아 도시 중 높은 경쟁력을 갖추고 있음을 보여준다”고 설명했다.서울관광재단은 블레저(Bleisure) 목적지로서 비즈니스와 레저를 함께 즐길 수 있는 서울의 매력을 알리고, 다양한 볼거리와 즐길 거리 등 신규 관광콘텐츠도 지속적으로 발굴하고 있다.서울 등산 관광 활성화를 위해 서울 등산관광센터 1호점인 북한산점을 시작으로 북악산점(2호점), 관악산점(3호점)을 차례로 개관하고, 도심 속 서울의 등산 매력을 알리며 국내외 관광객 대상 등산 관광 팸투어, 등산용품 대여 등 다양한 서비스를 제공한다.길기연 서울관광재단 대표이사는 “앞으로도 ‘비즈니스와 레저가 공존하는 도시 서울’의 매력을 전 세계에 널리 알릴 수 있도록 지속적으로 노력할 것”이라고 소감을 밝혔다.서울은 올 1월 여행플랫폼 트립어드바이저가 뽑은 ‘나 홀로 여행하기 좋은 도시’ 1위에도 선정된 바 있다.","https://n.news.naver.com/article/009/0005492669?ntype=RANKING)
"
2025-05-15,부동산,"“여보, 서울 아파트는 포기하자”…30대, ‘이 동네’ 집 사러 몰려갔다","[연합][헤럴드경제=김주리 기자] 30대 젊은층이 서울 집값 상승에 대한 부담으로 대안으로 인천 지역 주택을 매수하는 것으로 파악됐다.14일 신한투자증권 자산관리컨설팅부가 법원 등기정보광장의 부동산 소유권 취득현황 자료를 분석한 결과에 따르면 지난달 30~39세 내국인이 개인 명의로 서울, 인천, 경기 등 수도권에 취득한 집합건물(아파트·오피스텔·다세대·연립 등, 명의인수 기준)은 총 1만4715건으로, 작년 동월(1만5178건) 대비 약 3.1% 감소했다.지역별로 들여다보면 인천에서의 취득 건수가 지난해 1587건에서 올해 3080건으로 거의 2배 가까이 증가했다.같은 기간 서울도 2807건에서 4493건으로 60.0% 늘었으나, 경기도는 1만784건에서 7142건으로 33.8% 줄었다.서울의 취득건수 증가는 지난달 토지거래허가구역(토허구역)이 일시 해제되면서 해제 대상 지역에서 거래가 늘어난 영향이다.양지영 신한투자증권 자산관리컨설팅부 수석은 “서울 집값 상승으로 진입 장벽이 높아지자 실거주와 자산 형성을 동시에 고려해 인천을 대안으로 선택한 것으로 보인다”고 설명했다.양 수석은 인천이 경기도에 비해 전반적으로 가격이 저렴해 가격 매력도가 부각된 점도 인천지역 거래가 늘어난 배경으로 지목했다.지난달 인천에서 30대가 가장 많이 취득한 지역은 서구(915건)였다.검단신도시 2단계 분양, 루원시티 개발, 인천도시철도 1호선 개통 등의 호재와 함께 저렴한 분양가와 가격이 30대 유입을 자극한 것으로 추정된다.작년 동월 대비 증가율이 가장 높은 지역은 미추홀구(174건→854건)로, 391% 증가했다.경기도에선 거래량이 전반적으로 줄어든 가운데 ‘직주근접’이 가능한 지역에는 수요가 몰렸다.화성시의 취득 건수가 1061건으로 가장 많았으며 안양시 동안구(703건), 용인시 처인구(534건) 순으로 뒤이었다.화성시는 GTX-A 수서~동탄 구간 개통도 거래에 영향을 미친 것으로 보인다.한편 연천군은 작년 4월 취득건수가 단 1건이었으나 올해 4월에는 86건이 거래돼 전년 동월 대비 취득건수 증가율이 8천500%에 달했다.서울에선 신규 입주 물량 증가에 힘입어 동대문구(586건)의 취득건수가 가장 많았다. 이어 송파구(341건), 영등포구(255건) 순이었다.양지영 신한투자증권 자산관리컨설팅부 수석은 “서울 집값에 대한 부담감과 함께 금융규제 강화로 대출 여건까지 악화되면서 30대 실수요층의 주택 구매 행태가 점차 현실적인 대안을 모색하는 방향으로 재편되고 있다”고 말했다.","https://n.news.naver.com/article/016/0002471247?ntype=RANKING)
"
2025-05-15,부동산,"""아파트값 너무 비싸요""…'탈서울' 30대 우르르 몰리는 동네","""서울 아파트 가격 부담스럽네""30대, 인천 서구·경기 화성 몰려지난달 수도권 집합건물 분석경기 7412건·인천 3080건 취득GTX·검단연장선 호재 지역 매수서울 남산에서 바라본 시내 아파트 단지. 사진=연합뉴스서울 집값 상승으로 경기와 인천에서 내 집을 마련하는 30대 수도권 실수요자가 늘어난 것으로 나타났다. 수도권에서도 수도권광역급행철도(GTX)와 인천 검단 연장선 등 교통 호재가 있는 지역 내 부동산 구입이 많은 것으로 분석됐다.14일 신한투자증권 자산관리컨설팅부가 법원등기정보광장 부동산 소유권 취득(보존·이전) 현황을 살펴본 결과, 지난달 경기 지역에서 30대가 개인 명의로 아파트 등 집합건물을 취득한 사례는 7412건에 달했다. 서울과 인천은 각각 4493건, 3080건이었다.서울은 동대문구(586건) 내 소유권 취득이 가장 많이 이뤄졌다. 이문동과 답십리동 일대에서 신규 입주가 잇따른 영향이다.경기도에서 거래가 가장 활발한 곳은 1061건의 거래가 이뤄진 화성시였다. 수도권 전체로 봐도 화성시에서 부동산을 취득한 30대가 가장 많았다. GTX-A노선 수서~동탄 개통이 영향을 미친 것으로 풀이된다. 이어 안양시 동안구(703건), 용인시 처인구(534건) 등이 뒤를 이었다. 특히 안양시 동안구는 지난해 4월 116건에 불과했는데 올해 여섯 배가량 늘었다. 서울 접근성이 좋은 소형 아파트 중심으로 부동산 취득이 많은 것으로 조사됐다.인천에서 거래가 가장 많은 지역은 915건인 서구였다. 인천도시철도 1호선 검단연장선이 지날 예정인 곳이다. 인천공항철도 환승역인 계양역과 서구 검단신도시를 연결하는 노선이다. 지난해보다 취득 건수가 가장 크게 늘어난 곳은 미추홀구로 174건에서 854건으로 증가했다.서울 아파트 가격 부담과 대출 규제 강화 등으로 30대가 인천과 경기 내 주택을 선택하고 있다는 분석이 나온다. KB부동산에 따르면 올해 서울 아파트 중위 매매가가 10억원을 돌파했다. 경기도는 4억8000만원, 인천은 3억5833만원으로 서울의 절반에도 못 미치는 수준이다. 양지영 신한투자증권 자산관리컨설팅부 수석은 “30대의 주택 구매 형태가 점차 현실적인 대안을 모색하는 방향으로 재편되고 있다”고 설명했다.","https://n.news.naver.com/article/015/0005131854?ntype=RANKING)
"
2025-05-15,부동산,"개그우먼 이경실, '14억' 주고 산 동부이촌동 아파트 지금은…","이경실/사진=한경DB개그우먼 이경실이 소유한 서울 용산구 이촌동 아파트에 대한 경매 절차가 진행 중인 것으로 나타났다.15일 부동산 경·공매 데이터 전문기업 지지옥션에 따르면 오는 27일 이씨 소유의 293㎡(89평) 아파트에 대한 경매가 서울서부지방법원에서 진행된다. 경매 시작가는 25억5000만원이다.1970년대 초 준공된 이 아파트는 이촌동 초입에 있으며 223~317㎡의 24가구로 이뤄졌다. 상당수 가구가 한강을 내려다보고 있다. 등기부상 이씨는 이 아파트를 2007년 14억원에 사들인 뒤 거주하는 것으로 나타났다.이씨의 집이 경매에 나온 것은 이씨가 이 집을 담보로 빌린 돈을 갚지 않았기 때문으로 분석된다. 이 아파트에는 A씨 명의로 채권최고액 18억원의 근저당권 등이 설정돼 있다. A씨는 지난해 9월 13억3000여만원을 청구하며 법원에 담보권 실행을 위한 경매를 신청했다. 이후 A씨는 한 대부업체에 채권을 넘긴 것으로 나타났다.이주현 지지옥션 전문위원은 ""아파트 연식이 50년이 넘고, 용산구가 토지거래허가구역으로 지정돼 매매가 쉽지 않아 경매로 넘어온 것으로 보인다""고 말했다.","https://n.news.naver.com/article/015/0005132051?ntype=RANKING)
"
2025-05-15,부동산,서울신문,본문 추출 실패,"https://media.naver.com/press/081/ranking?type=popular)
"
2025-05-15,부동산,"한국 온 뒤 성병 걸린 베트남 아내…""업소 근무, 성매매 600번""","한국 남성과 결혼한 베트남 여성이 몰래 성매매를 하다 적발된 사연이 전해졌다. 남편은 비임균 요도염 등 여러 성병에 걸리자 몰래 아내 뒤를 밟아 이 같은 사실을 알게 됐다. /사진=유튜브 채널 '투우부부'한국 남성과 결혼한 베트남 여성이 몰래 성매매를 하다 적발된 사연이 전해졌다. 남편은 비임균 요도염 등 여러 성병에 걸리자 몰래 아내 뒤를 밟아 이 같은 사실을 알게 됐다.유튜버 '투우부부'는 지난 11일 유튜브를 통해 경기도 남양주시에 거주하는 40대 남성 A씨의 사연을 전했다.이에 따르면 1983년생인 A씨는 결혼 전 오래 만난 여자친구와 헤어지면서 국제 결혼에 관심을 갖게 됐다. 2022년 9월 결혼중개업체를 통해 베트남 여성 15명을 소개받았고, 이중 한국어에 능통한 B씨를 선택해 베트남 하이퐁시에서 맞선을 봤다.A씨는 맞선 한 달 만에 베트남을 재방문해 B씨와 약혼식을 올렸다. 12월엔 전통혼례를 치렀고, 이듬해인 2023년 3월 함께 한국으로 들어왔다.갑자기 아랫배가 아프다던 B씨는 산부인과에서 4가지 성병 진단을 받았다. 당연히 남편도 B씨와 같은 성병에 감염된 상태였다. 입국 전 건강검진에서는 특별한 이상이 없었는데, 불과 7개월 만에 성병에 감염된 게 이상했던 남편은 B씨의 외도를 의심하게 됐다.  /사진=유튜브 채널 '투우부부'이상한 낌새를 느낀 건 2023년 10월. 갑자기 아랫배가 아프다던 B씨는 산부인과에서 4가지 성병 진단을 받았다. 당연히 남편도 B씨와 같은 성병에 감염된 상태였다. 입국 전 건강검진에서는 특별한 이상이 없었는데, 불과 7개월 만에 성병에 감염된 게 이상했던 남편은 B씨의 외도를 의심하게 됐다.의심스러운 정황은 이뿐만이 아니다. B씨는 지난해 10월 친한 언니와 외박을 해도 되겠냐고 물었고, A씨는 연락만 잘 되면 보내주겠다고 했다. 하지만 집을 나간 B씨는 2박3일간 연락을 전혀 받지 않았다. 집에 돌아와서도 휴대전화를 보여달라는 A씨의 말에 ""휴대전화는 내 거잖아""라며 격렬하게 저항했다. 급기야 비상 계단에서 뛰어내리는 등 자해까지 시도했다.A씨는 뒤늦게 B씨와 여행을 간 '언니'가 상간남이라는 사실을 알게 됐다. 아내는 특히 남자친구와 만난 경위를 묻는 말에 ""유흥업소에서 근무하다 단골 손님으로 알게 됐다""며 당당하게 성매매를 했다고 고백했다.A씨는 B씨가 근무한 유흥업소 출근부도 확보했다. B씨는 2024년 5월부터 주 6일 오후 2시부터 9시까지 600명 이상 남성과 성매매를 한 것으로 확인됐다. 남편에게는 ""공부하러 간다"", ""피부 관리를 받으러 간다"", ""아르바이트하러 간다""고 둘러댔다고 한다. /사진=유튜브 채널 '투우부부'A씨는 B씨가 근무한 유흥업소 출근부도 확보했다. B씨는 2024년 5월부터 주 6일 오후 2시부터 9시까지 600명 이상 남성과 성매매를 한 것으로 확인됐다. 남편에게는 ""공부하러 간다"", ""피부 관리를 받으러 간다"", ""아르바이트하러 간다""고 둘러댔다고 한다.A씨는 B씨를 상대로 손해배상소송과 함께 이혼 소송을 제기했다. B씨는 ""위자료를 깎아달라"", ""유흥업소에서 일해서 갚겠다""며 사과했지만, 이후 A씨와 연락을 끊고 잠적한 상태다.A씨는 ""이건 저 혼자만 알고 있으면 안 될 것 같다. 이 여자가 한국에 있으면 저 말고도 다수의 피해자가 발생할 것 같다""며 ""제가 아내를 건국대 어학당에 보내줬는데, 유학생인 척 도서관에서 한국 남학생들한테 접근을 많이 했다""고 주장했다.이어 ""똑같은 피해를 막고 싶다. 피해자가 더 생기지 않았으면 하는 마음뿐""이라고 경고했다.","https://n.news.naver.com/article/008/0005194209?ntype=RANKING)
"
2025-05-15,부동산,"""큰 집 살 돈은 없지만"" 청약시장 '큰 손' 된 30대…소형 평수 인기","/사진=뉴시스주택 시장에서 30대 이하 젊은 세대가 새로운 큰 손으로 떠오르면서 면적도 소형이 흥행하고 있다. 신혼부부나 1인 직장인 가구 등이 늘어난 영향으로, 청약 공모에서도 같은 단지 내 소형 평수가 인기를 끌고 있다.14일 부동산업계에 따르면 최근 진행된 아파트 청약에서 소형 면적 가구가 큰 관심을 받고 있다. 한국부동산원 청약홈에 따르면 지난 2일 진행된 서울 연신내 양우내안애 퍼스티지 8차 임의공급 청약에서 전용 53㎡ 1가구 모집에는 33건이 접수돼 33대 1의 경쟁률을 기록했다. 전용 74㎡ 모집 경쟁률이 각각 4.25대 1, 3.75대 1로 한 자릿수의 경쟁률을 기록한 것과 대비된다.지난달 28일부터 30일까지 진행된 인천 시티오씨엘 7단지 청약에서는 전용 59㎡ 71가구 모집 평균 경쟁률이 52.28대 1을 기록해 35가구를 모집한 전용 75㎡의 평균 경쟁률(54.71대 1)과 비슷한 정도였다. 약 두 배 많은 가구수 모집에도 비슷한 경쟁률을 기록한 것이다.업계에서는 최근 소형 아파트가 가장 실질적인 수요가 많이 몰리는 주거 형태라고 분석한다. 신혼부부, 1인 청년층 등은 물론 은퇴 고령층 수요까지 아우르기 때문이다. 특히 최근 30대 이하 청년층의 주택 매입이 늘어나고 있는 현상과 무관하지 않은 것으로 보인다.부동산 정보업체 리얼투데이가 한국부동산원의 연령별 청약 당첨자 현황을 분석한 자료에 따르면, 올해 1~3월 청약 당첨자 1만546명 중 30대 이하가 48%로 절반에 가까운 것으로 나타났다. 다음으로는 △40대(29%) △50대(16%) △60대이상(7%)순이었다. 높은 참여율과도 관련이 있을 것으로 보인다.같은 기간 주택 매입 거래량도 30대 이하의 비중이 가장 높았다. 전체 매입자 12만3169명 중 30대 이하가 31%를 차지했고 이어 △40대(26%) △50대(21%) △60대이상(20%)으로 집계됐다. 청년층 세대가 주택 시장 핵심 소비자로 거듭났다는 분석이다.부동산 정보업체 포애드원이 지난해 12월 통계청이 발표한 장래가구추계를 분석한 결과 오는 2027년 국내 전체 가구 중 1~2인 가구의 비율은 약 67.7%에 이를 것으로 전망된다. 5년 전인 2022년에 비해 5%포인트(p) 늘어난 수치다. 아울러 부동산 R114 자료를 분석한 결과 지난해 전국 아파트 거래량은 약 45만건이었고, 이 중 전용 60㎡ 이하 소형 아파트가 17만6492건으로 전체의 약 40%에 달했다.신혼부부나 젊은 청년층을 포함하는 1~2인 가구가 늘어남에 따라 소형 면적의 아파트에 대한 선호 현상은 지속될 전망이다. 특히 공사비 상승에 따른 분양가의 동반 상승 영향이 이어지면서 상대적으로 자금이 부족한 젊은 세대는 그나마 부담이 가능한 가격대인 소형 면적의 주택에 대한 수요가 높아질 수 있다.한편 지난 2월 소폭 내렸던 건설공사비 지수는 다시 상승 전환했다. 한국건설기술연구원 산하 공사비원가관리센터에 따르면 건설공사비 지수는 지난 3월 131.23을 기록해 전월 대비 0.16%, 전년 동월 대비 0.91% 상승했다.","https://n.news.naver.com/article/008/0005194200?ntype=RANKING)
"
2025-05-15,부동산,개그우먼 이경실 소유 동부이촌동 아파트 경매행,"개그우먼 이경실이 2018년 한 제작발표회에서 포즈를 취하고 있다.[연합뉴스 자료사진](서울=연합뉴스) 권혜진 기자 = 개그우먼 이경실 소유의 서울 용산구 이촌동 아파트에 대한 경매 절차가 진행 중인 것으로 확인됐다.15일 부동산 경·공매 데이터 전문기업 지지옥션에 따르면 이씨 소유의 293㎡(89평) 아파트에 대한 경매가 오는 27일 서울서부지방법원에서 진행된다.경매 시작가는 25억5천만원이다.이촌동 초입에 위치한 이 아파트는 223~317㎡의 24가구로 이뤄졌으며 상당수 가구가 한강을 내려다보고 있다.등기부상 이씨는 1970년대 초 준공된 이 아파트를 2007년 14억원에 사들인 뒤 거주하는 것으로 나타났다.이씨의 집이 경매에 나온 것은 이씨가 이 집을 담보로 빌린 돈을 갚지 않았기 때문으로 분석된다.이 아파트에는 A씨 명의로 채권최고액 18억원의 근저당권 등이 설정돼 있으며 A씨는 지난해 9월 13억3천여만원을 청구하며 법원에 임의 경매를 신청했다.A씨는 이후 한 대부업체에 채권을 넘긴 것으로 나타났다.이주현 지지옥션 전문위원은 ""아파트 연식이 50년이 넘고, 용산구가 토지거래허가구역으로 지정돼 매매가 쉽지 않아 경매로 넘어온 것으로 보인다""고 말했다.lucid@yna.co.kr","https://n.news.naver.com/article/001/0015389150?ntype=RANKING)
"
2025-05-15,해외주식,"빈살만 앞에서 춤 춘 테슬라 로봇···""트럼프도 감탄""","테슬라(NASDAQ:TSLA)의 일론 머스크 CEO가 사우디아라비아 리야드에서 진행된 시연회에서 옵티머스 휴머노이드 로봇이 'YMCA' 춤을 추자 무함마드 빈 살만 사우디 왕세자와 도널드 트럼프 전 미국 대통령이 깊은 인상을 받았다고 밝혔다.벤징가뉴스에 따르면 머스크 CEO는 사우디 경제포럼에서 ""왕세자 전하와 트럼프 대통령께 테슬라 옵티머스 로봇 몇 대를 시연했는데 두 분 모두 매우 감명받은 것 같다""며 ""특히 우리 로봇 중 한 대가 '트럼프 댄스'를 선보였는데 꽤 멋졌다""고 말했다.'트럼프 댄스'는 트럼프가 집회에서 'YMCA' 노래에 맞춰 자주 선보이는 그의 시그니처 춤동작을 말한다.이번 시연은 테슬라가 사우디아라비아에서 공식 판매를 시작하면서 진행됐다. 출시 행사에서는 사이버캡과 옵티머스 로봇을 포함한 글로벌 라인업이 공개됐다.이번 사우디 진출은 2018년 '자금 확보' 논란으로 긴장 관계에 있었던 머스크와 사우디 국부펀드(PIF) 간의 관계가 크게 개선됐음을 보여준다.머스크는 휴머노이드 로봇이 보편화될 미래를 예측하며 이를 스타워즈의 'C-3PO나 R2-D2 같은 개인 비서'에 비유했다. 그는 ""휴머노이드 로봇이 결국 수백억 대에 이를 것""이라며 ""모든 사람이 자신만의 로봇을 갖게 될 것""이라고 전망했다.머스크는 로봇 산업의 경제적 잠재력을 강조하며 ""현재 세계 경제 규모의 10배에 달하는 경제를 창출할 수 있으며 보편적 고소득을 가능하게 할 것""이라고 주장했다.머스크의 낙관적 전망에도 불구하고 테슬라는 옵티머스 생산에 어려움을 겪고 있다. 최근 실적 발표에서 머스크는 로봇 구동장치에 필수적인 희토류 자석에 대한 중국의 새로운 수출 제한 등 공급망 제약을 언급했다.","https://n.news.naver.com/article/215/0001209262?ntype=RANKING)
"
